name,replies_count
#LandIsNotProperty Mwalimu Wandia,14.0
Ahmed Mohamed ((ASMALi)),49.0
Ahmednasir Abdullahi SC,3958.0
BRAVIN YURI,11.0
Bluesman Kenya,7.0
Collins KIPTOO🌍,7.0
"Cyprian, Is Nyakundi",204.0
Daniel Kimutai,21.0
David Makali,190.0
Donald B Kipkorir,646.0
Edwin Sifuna,1052.0
Elijah  Okemwa,7.0
Farouk Teigut Kibet,25.0
Fred Kay,24.0
General Muias HSC,28.0
"Hon. Aisha Jumwa, Malindi MP.",39.0
Jovial,8.0
KOMRADE IDALINYA,31.0
KOT OCS,97.0
Kabando Wa Kabando,44.0
Kenneth Muriithi,10.0
Kenyan Dictionary,6.0
Kenyan Vote,59.0
Linus Kaikai,62.0
MBWAKNI,42.0
MUGAMBI AMATHI,43.0
Millicent Omanga,192.0
Mutahi Ngunyi,367.0
Nation Africa,52.0
Nation Breaking News,48.0
Nyamoita Nyakundi,101.0
Omar Lali,6.0
Rigathi Gachagua,97.0
Roma Saich ™❁,16.0
Rono GK(Man Like Rono),90.0
Sen. Susan Kihika,159.0
Sen.Johnson Nduya Muthama,21.0
Silvia Wangeci ➐,70.0
Steve Ogolla,59.0
Tiffany Chepkemoi,259.0
waikwa wanyoike,110.0
𝘾𝙆,33.0
