name,retweets_count
#LandIsNotProperty Mwalimu Wandia,144.0
Ahmed Mohamed ((ASMALi)),196.0
Ahmednasir Abdullahi SC,18084.0
BRAVIN YURI,152.0
Bluesman Kenya,139.0
Collins KIPTOO🌍,186.0
"Cyprian, Is Nyakundi",2402.0
Daniel Kimutai,290.0
David Makali,337.0
Donald B Kipkorir,795.0
Edwin Sifuna,533.0
Elijah  Okemwa,235.0
Farouk Teigut Kibet,760.0
Fred Kay,131.0
General Muias HSC,182.0
"Hon. Aisha Jumwa, Malindi MP.",170.0
Jovial,147.0
KOMRADE IDALINYA,326.0
KOT OCS,446.0
Kabando Wa Kabando,164.0
Kenneth Muriithi,234.0
Kenyan Dictionary,128.0
Kenyan Vote,140.0
Linus Kaikai,622.0
MBWAKNI,325.0
MUGAMBI AMATHI,193.0
Millicent Omanga,215.0
Mutahi Ngunyi,183.0
Nation Africa,819.0
Nation Breaking News,299.0
Nyamoita Nyakundi,209.0
Omar Lali,136.0
Rigathi Gachagua,256.0
Roma Saich ™❁,176.0
Rono GK(Man Like Rono),2611.0
Sen. Susan Kihika,357.0
Sen.Johnson Nduya Muthama,127.0
Silvia Wangeci ➐,363.0
Steve Ogolla,282.0
Tiffany Chepkemoi,129.0
waikwa wanyoike,1615.0
𝘾𝙆,422.0
